index,codec_name,codec_long_name,profile,codec_type,codec_tag_string,codec_tag,width,height,coded_width,coded_height,closed_captions,has_b_frames,sample_aspect_ratio,display_aspect_ratio,pix_fmt,level,chroma_location,refs,is_avc,nal_length_size,r_frame_rate,avg_frame_rate,time_base,start_pts,start_time,duration_ts,duration,bit_rate,bits_per_raw_sample,nb_frames,disposition,tags,sample_fmt,sample_rate,channels,channel_layout,bits_per_sample,FILE_NAME
0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High,video,avc1,0x31637661,720.0,540.0,720.0,540.0,0.0,2.0,1:1,4:3,yuv420p,30.0,left,1.0,true,4,25/1,25/1,1/12800,0,0.000000,39936,3.120000,2224756,8,78,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'VideoHandler', 'vendor_id': '[0][0][0][0]'}",,,,,,tXZqr1gs58gZ3GPebPC_4w.mp4.json
1,aac,AAC (Advanced Audio Coding),LC,audio,mp4a,0x6134706d,,,,,,,,,,,,,,,0/0,0/0,1/44100,0,0.000000,137592,3.120000,127263,,136,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'Imported with GPAC 0.4.6-DEV (internal rev. 5)', 'vendor_id': '[0][0][0][0]'}",fltp,44100,2.0,stereo,0.0,tXZqr1gs58gZ3GPebPC_4w.mp4.json
0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High,video,avc1,0x31637661,720.0,300.0,720.0,300.0,0.0,2.0,,,yuv420p,30.0,left,1.0,true,4,24/1,24/1,1/12288,0,0.000000,13312,1.083333,707918,8,26,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'VideoHandler', 'vendor_id': '[0][0][0][0]'}",,,,,,kJGtVnDBOG0IfN8ZHo019A.mp4.json
1,aac,AAC (Advanced Audio Coding),LC,audio,mp4a,0x6134706d,,,,,,,,,,,,,,,0/0,0/0,1/48000,0,0.000000,51984,1.083000,125780,,52,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'SoundHandler', 'vendor_id': '[0][0][0][0]'}",fltp,48000,2.0,stereo,0.0,kJGtVnDBOG0IfN8ZHo019A.mp4.json
0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High,video,avc1,0x31637661,720.0,300.0,720.0,300.0,0.0,2.0,,,yuv420p,30.0,left,1.0,true,4,25/1,25/1,1/12800,0,0.000000,51712,4.040000,263083,8,101,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'VideoHandler', 'vendor_id': '[0][0][0][0]'}",,,,,,bZ9qZXcnERJDRFsmppJwtg.mp4.json
1,aac,AAC (Advanced Audio Coding),LC,audio,mp4a,0x6134706d,,,,,,,,,,,,,,,0/0,0/0,1/48000,0,0.000000,193920,4.040000,126984,,191,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'rus', 'handler_name': 'SoundHandler', 'vendor_id': '[0][0][0][0]'}",fltp,48000,2.0,stereo,0.0,bZ9qZXcnERJDRFsmppJwtg.mp4.json
0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High,video,avc1,0x31637661,720.0,300.0,720.0,300.0,0.0,2.0,,,yuv420p,30.0,left,1.0,true,4,24/1,24/1,1/12288,0,0.000000,24064,1.958333,245731,8,47,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'VideoHandler', 'vendor_id': '[0][0][0][0]'}",,,,,,Jl8DoKiboZuenWvPred2gQ.mp4.json
1,aac,AAC (Advanced Audio Coding),LC,audio,mp4a,0x6134706d,,,,,,,,,,,,,,,0/0,0/0,1/48000,0,0.000000,93984,1.958000,127780,,93,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'SoundHandler', 'vendor_id': '[0][0][0][0]'}",fltp,48000,2.0,stereo,0.0,Jl8DoKiboZuenWvPred2gQ.mp4.json
0,h264,H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10,High,video,avc1,0x31637661,720.0,404.0,720.0,404.0,0.0,2.0,1:1,180:101,yuv420p,30.0,left,1.0,true,4,25/1,25/1,1/12800,0,0.000000,99328,7.760000,365197,8,194,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'und', 'handler_name': 'VideoHandler', 'vendor_id': '[0][0][0][0]'}",,,,,,_LWMl85JcZi9cmd5ZaHR4A.mp4.json
1,aac,AAC (Advanced Audio Coding),LC,audio,mp4a,0x6134706d,,,,,,,,,,,,,,,0/0,0/0,1/48000,0,0.000000,372480,7.760000,128287,,365,"{'default': 1, 'dub': 0, 'original': 0, 'comment': 0, 'lyrics': 0, 'karaoke': 0, 'forced': 0, 'hearing_impaired': 0, 'visual_impaired': 0, 'clean_effects': 0, 'attached_pic': 0, 'timed_thumbnails': 0}","{'language': 'eng', 'handler_name': '#Mainconcept MP4 Sound Media Handler', 'vendor_id': '[0][0][0][0]'}",fltp,48000,2.0,stereo,0.0,_LWMl85JcZi9cmd5ZaHR4A.mp4.json
